"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Leading causes of death, total population, by age group","13100394","102-0561","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310039401",1;2;3;20;21;22;23;24;25,"CURRENT - a cube available to the public and that is current","Annual","2000-01-01","2020-01-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography, place of residence",4;5,""
"2","Age at time of death",6,""
"3","Sex",10,""
"4","Leading causes of death (ICD-10)",11;12;13,""
"5","Characteristics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"4","Accidents (unintentional injuries)","[V01-X59, Y85-Y86]","45","100","",,
"4","Intentional self-harm (suicide)","[X60-X84, Y87.0]","46","100","",,
"4","Assault (homicide)","[X85-Y09, Y87.1]","47","100","",,
"4","Legal intervention","[Y35, Y89.0]","48","100","",,
"4","Operations of war and their sequelae","[Y36, Y89.1]","49","100","",,
"4","Complications of medical and surgical care","[Y40-Y84, Y88]","50","100","",,
"4","Other causes of death","","51","100","",14,
"4","COVID-19","[U07.1, U07.2]","52","100","",,
"4","Total, all causes of death","[A00-Y89]","100","","",,
"5","Rank of leading causes of death","","1","","",15,
"5","Number of deaths","","2","","",,
"5","Percentage of deaths","","3","","",,
"5","Age-specific mortality rate per 100,000 population","","4","","",16;17;18;19,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"3233","Vital Statistics - Death Database"

"Subject Code","Subject Name"
"13","Health"

"Note ID",Note
1,"Sources: Statistics Canada, Canadian Vital Statistics - Death database (CVSD) and population estimates"
2,"Death refers to the permanent disappearance of all evidence of life at any time after a live birth has taken place. Stillbirths are excluded."
3,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period, (...) for figures not applicable and (x) for figures suppressed to meet the confidentiality requirements of the Statistics Act."
20,"The totals (all causes of death) by age group and/ or sex presented in this table may not reflect those given in tables 13-10-0707-01 to 13-10-0716-01, 13-10-0368-01 due to the correction of age or sex information that was inconsistent with the underlying cause of death."
21,"During the production of each year's birth/death/stillbirth statistics, data from previous years may be revised to reflect any updates or changes that have been received from the provincial and territorial vital statistics registrars."
22,"Starting with the 2013 reference year, information regarding new and terminated cause of death codes, as well as any changes to the cause of death descriptions, are available upon request; please contact Statistics Canada's Statistical Information Service (toll-free 1-800-263-1136; 514-283-8300; STATCAN.infostats-infostats.STATCAN@Canada.ca)."
23,"Starting with the 2013 reference year, a new automated coding system was used to select the underlying cause of death. In 2017, an updated version of this coding system was implemented. For more information or to obtain documentation regarding the impact of these changes, please contact Statistics Canada's Statistical Information Service (toll-free 1-800-263-1136; 514-283-8300; STATCAN.infostats-infostats.STATCAN@Canada.ca)."
24,"Due to improvements in methodology and timeliness, the duration of data collection has been shortened compared to previous years. As a result, there may have been fewer deaths captured by the time of the release. The 2017, 2018, 2019 and 2020 data are considered preliminary."
25,"2017, 2018, 2019 and 2020 data for Yukon are not available."
4,"The geographic distribution of deaths in this table is based on the deceased's usual place of residence."
5,"Counts in this table exclude deaths of non-residents of Canada."
6,"Age attained at the last birthday preceding death."
7,"The category "Age at time of death, all ages" includes the number of deaths for children aged under one year old."
8,"The deaths for which age is not stated are included in the "Age at the time of death, all ages" category but not distributed among age groups."
9,"For "Age at time of death, 1 to 4 years", mortality rate calculation uses population estimates for 0 to 4 year olds less live births in calendar year. Starting with the 2012 reference year, the mortality rate for 1 to 4 year olds is based on the population estimate for this age group."
10,"For data year 2000 to 2009, missing data on sex of the deceased were imputed based on death registration number. Starting with 2010 data year, missing data on sex of the deceased were imputed based on the cause of death information and a logistic regression."
11,"The cause of death tabulated is the underlying cause of death. This is defined as (a) the disease or injury which initiated the train of events leading directly to death, or (b) the circumstances of the accident or violence which produced the fatal injury. The underlying cause is selected from the conditions listed on the medical certificate of cause of death."
12,"World Health Organization (WHO), International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10)."
13,"The list for ranking leading causes of death that is used in this table is based on the list that was developed and that is been used by the National Center for Health Statistics of the United States in their annual report on leading causes of death."
14,""Other causes of death" is a residual category, which includes all causes of death that are not part of the 50 leading causes of death list."
15,"The ranking of the leading causes of death is based on the number of deaths."
16,"For "Age at time of death, all ages", the mortality rate represents the crude death rate, or the number of deaths (including the deaths of children aged under one year old) during a given year per 100,000 population on July 1 of the same year."
17,"The age-specific mortality rate represents the number of deaths in a particular age group during a given year per 100,000 population in the same age group of the same year."
18,"For data year 2000 to 2009, the population estimates used to calculate the mortality rates are presented in the Appendix 3 of the publication "Leading Causes of Death in Canada" (catalogue number 84-215-XIE)."
19,"Starting with the 2010 data year, information regarding the population estimates used for the mortality rate calculations is found in the "Data sources" entry for survey number 3233."

"Correction ID","Correction Date","Correction Note"
